Columns: lon lat depth mrr mtt mpp mrt mrp mtp iexp name lon lat str1 dip1 rake1 str2 dip2 rake2 sc iexp name

95.51 6.50 222 0.16 1.15 -1.31 1.46 -1.49 2.88 24 X Y 090900A 6.50 15 65 -168 280 79 -25 3.650 24 090900A
92.97 9.97 33 1.85 -0.41 -1.44 -1.30 1.67 -0.17 24 X Y 110500C 9.97 193 23 126 335 72 76 2.610 24 110500C
97.68 0.34 36 2.02 -2.14 0.12 2.84 -3.19 2.12 23 X Y 030701C 0.34 272 21 45 139 75 105 5.120 23 030701C
94.08 8.76 28 0.05 -0.85 0.81 0.13 -0.18 1.04 24 X Y 031501A 8.76 250 81 -2 341 88 -171 1.350 24 031501A
94.11 8.79 30 0.47 -4.38 3.92 1.76 -0.16 9.32 24 X Y 031501B 8.79 348 81 -178 258 88 -9 10.350 24 031501B
97.52 0.06 22 3.65 -2.46 -1.18 4.19 -3.50 2.80 24 X Y 051801A 0.06 307 19 87 130 71 91 6.870 24 051801A
94.53 6.06 20 -0.06 -1.56 1.62 -0.46 -0.34 0.43 24 X Y 081201E 6.06 143 71 -179 52 89 -19 1.740 24 081201E
94.20 5.21 34 -3.79 -0.37 4.16 1.76 1.40 -0.61 24 X Y 103101G 5.21 331 41 -126 195 58 -63 4.610 24 103101G
97.85 2.01 46 6.40 -4.51 -1.88 5.51 -2.38 -0.57 23 X Y 010402F 2.01 257 23 65 103 69 100 8.030 23 010402F
95.57 3.35 45 2.78 -2.93 0.16 2.51 -5.14 3.44 23 X Y 012202C 3.35 268 28 30 151 76 115 7.220 23 012202C
95.43 3.43 48 1.18 -0.77 -0.41 0.08 0.01 0.68 24 X Y 012402C 3.43 311 44 95 124 46 85 1.240 24 012402C
95.48 3.57 31 9.56 -7.17 -2.39 -0.09 0.83 5.24 23 X Y 012402D 3.57 118 44 84 307 47 96 10.090 23 012402D
95.52 3.37 42 2.57 -2.05 -0.52 -0.02 -0.09 1.51 24 X Y 012402F 3.37 299 45 87 124 45 93 2.770 24 012402F
95.68 3.48 15 3.49 -2.03 -1.46 -3.05 0.30 -0.83 23 X Y 012502C 3.48 51 25 62 262 68 103 4.240 23 012502C
93.40 8.23 72 2.88 -4.73 1.85 -0.50 -2.67 -0.02 23 X Y 080602A 8.23 122 53 142 237 61 43 4.930 23 080602A
94.44 6.00 58 1.27 -1.52 0.25 2.84 -0.95 -2.61 24 X Y 102402V 6.00 197 43 18 94 78 132 4.210 24 102402V
